IDProducto;Producto;Marca;IDEmpresa;Seccion;Categoria;Variedad;FigurasCalidad;HEART OF SPAIN
39947;VINO ROSADO;CANTICO;379;BEBIDAS;VINOS;VINO ROSADO;VCPRD D.O. CIGALES;
20069;VINO ROSADO;PINNA FIDELIS ROSE;1012;BEBIDAS;VINOS;VINO ROSADO;VCPRD D.O. RIBERA DEL DUERO;
40963;VINO TINTO;CONDOMINIO;1012;BEBIDAS;VINOS;VINO TINTO;VCPRD D.O. RIBERA DEL DUERO;
23856;PALETA DE BELLOTA 100% IBERICA;NIETO MARTIN;1649;CHARCUTERIA;CURADOS;PALETA IBERICA;"D.O.P. JAMON DE GUIJUELO; NORMA DE CALIDAD DEL IBERICO";
23864;LOMO DE CEBO 100% IBERICO;NIETO MARTIN;1649;CHARCUTERIA;EMBUTIDOS;LOMO IBERICO;NORMA DE CALIDAD DEL IBERICO;
23865;LOMO DE CEBO DE CAMPO IBERICO;NIETO MARTIN;1649;CHARCUTERIA;EMBUTIDOS;LOMO IBERICO;NORMA DE CALIDAD DEL IBERICO;
43668;JAMON DE CEBO DE CAMPO 100% IBERICO;NIETO MARTIN;1649;CHARCUTERIA;CURADOS;JAMON IBERICO;NORMA DE CALIDAD DEL IBERICO;
39510;LOMO DE BELLOTA IBERICO;IBERICOS DEHESA CASABLANCA;39775;CHARCUTERIA;EMBUTIDOS;LOMO IBERICO;NORMA DE CALIDAD DEL IBERICO;
29256;VINO TINTO JOVEN;AJEDREZ;1350;BEBIDAS;VINOS;VINO TINTO;I.G.P. VINO DE LA TIERRA DE CASTILLA Y LEON;
12664;VINO TINTO CRIANZA;TERRAESTEBAN;32540;BEBIDAS;VINOS;VINO TINTO;VCPRD D.O. RIBERA DEL DUERO;
27901;VINO ROSADO;TERRAESTEBAN;32540;BEBIDAS;VINOS;VINO ROSADO;VCPRD D.O. RIBERA DEL DUERO;
13426;MANZANA;LIVINDA;33060;FRUTAS;MANZANAS Y PERAS;MANZANA;"PROTOCOLO PRIVADO (BRC); PROTOCOLO PRIVADO (GLOBAL GAP)";
33905;JAMON DE CEBO IBERICO;IBERAÑEZ, CORTADO A MANO;38855;CHARCUTERIA;CURADOS;JAMON IBERICO;NORMA DE CALIDAD DEL IBERICO;
33906;LOMO DE BELLOTA IBERICO;IBERAÑEZ, CORTADO A MANO;38855;CHARCUTERIA;EMBUTIDOS;LOMO IBERICO;NORMA DE CALIDAD DEL IBERICO;
33910;PALETA DE CEBO DE CAMPO IBERICA;IBERAÑEZ, CORTADO A MANO;38855;CHARCUTERIA;CURADOS;PALETA IBERICA;NORMA DE CALIDAD DEL IBERICO;
27861;LOMO DE CEBO IBERICO;EMBUTIDOS GONZALEZ PERRINO;32040;CHARCUTERIA;EMBUTIDOS;LOMO IBERICO;NORMA DE CALIDAD DEL IBERICO;
